step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
308,CASH_OUT,94270.99,C473084216,0.0,0.0,C1130422007,392411.08,486682.07,0,0
215,TRANSFER,1068883.0,C116497934,227.3,0.0,C321541184,4096905.34,5165788.35,0,0
326,TRANSFER,2485281.21,C2089305953,54940.0,0.0,C1473680645,177829.59,2663110.8,0,0
371,PAYMENT,2243.36,C1200351076,0.0,0.0,M1583169191,0.0,0.0,0,0
283,PAYMENT,5845.82,C1501258365,0.0,0.0,M1431167213,0.0,0.0,0,0
14,PAYMENT,10659.6,C1526893931,220529.0,209869.4,M150288567,0.0,0.0,0,0
162,PAYMENT,6312.53,C943555736,0.0,0.0,M593926267,0.0,0.0,0,0
203,TRANSFER,874965.57,C698448076,0.0,0.0,C1274939750,3610005.69,4484971.27,0,0
13,TRANSFER,798260.4,C1475141933,0.0,0.0,C1062528404,3661368.55,4459628.94,0,0
288,PAYMENT,3002.77,C1720202514,0.0,0.0,M178210783,0.0,0.0,0,0
137,PAYMENT,13700.01,C2091857918,0.0,0.0,M2097190170,0.0,0.0,0,0
308,CASH_OUT,195164.43,C1017200178,0.0,0.0,C1149731092,965488.39,1160652.82,0,0
228,CASH_OUT,364454.01,C422467535,30000.0,0.0,C1056448989,2301674.7,2666128.71,0,0
283,CASH_IN,15346.03,C2009919608,8257921.03,8273267.07,C451015970,227535.84,212189.81,0,0
284,CASH_IN,112826.34,C1899982048,7002.0,119828.34,C17443495,355947.77,243121.43,0,0
208,TRANSFER,720878.07,C1298294966,1481.0,0.0,C388810142,1003894.22,1724772.29,0,0
330,CASH_OUT,93365.47,C1893846218,0.0,0.0,C1652331362,158352.97,251718.44,0,0
135,CASH_OUT,65890.37,C1610892654,512104.0,446213.63,C1985763166,0.0,65890.37,0,0
308,PAYMENT,6232.78,C291859737,12286.0,6053.22,M687044331,0.0,0.0,0,0
353,CASH_IN,149471.65,C1422424393,10732550.34,10882021.98,C1521213317,1236343.09,1086871.45,0,0
252,CASH_OUT,164096.33,C839580951,86152.91,0.0,C1445819313,188930.55,353026.88,0,0
331,TRANSFER,308745.15,C460709239,0.0,0.0,C620998690,361319.74,670064.89,0,0
11,PAYMENT,3128.68,C1213253854,387.0,0.0,M638835543,0.0,0.0,0,0
137,CASH_OUT,76574.43,C235150711,0.0,0.0,C139248490,307825.28,384399.71,0,0
139,CASH_IN,114228.9,C23188749,6449971.02,6564199.91,C743845394,335624.53,221395.63,0,0
323,PAYMENT,31848.66,C1656901207,20566.0,0.0,M1749425990,0.0,0.0,0,0
9,CASH_OUT,37102.4,C1784502637,0.0,0.0,C302870502,2425584.46,3116947.09,0,0
333,TRANSFER,416520.19,C404575319,33842.0,0.0,C279805017,9190.52,425710.7,0,0
212,PAYMENT,4741.11,C548980664,0.0,0.0,M1730737073,0.0,0.0,0,0
205,CASH_OUT,287543.82,C83514665,10693.0,0.0,C1213047566,847179.97,1134723.79,0,0
138,PAYMENT,2607.5,C1107165768,533661.0,531053.5,M1193765775,0.0,0.0,0,0
564,CASH_OUT,95987.48,C1764633583,0.0,0.0,C83560309,1394346.5,1490333.98,0,0
132,CASH_OUT,105150.96,C1065916212,51032.0,0.0,C344630793,0.0,105150.96,0,0
282,CASH_OUT,98352.67,C1786819768,544381.0,446028.33,C1904712976,2156165.21,2254517.88,0,0
186,PAYMENT,52623.78,C759417267,3090.0,0.0,M424966470,0.0,0.0,0,0
377,CASH_OUT,94425.6,C1372883492,0.0,0.0,C1028239024,2644441.07,2738866.67,0,0
349,CASH_IN,502972.59,C920702617,5939300.64,6442273.23,C993785842,961177.41,458204.82,0,0
184,CASH_IN,60189.49,C779575287,40415.0,100604.49,C308411515,741392.56,681203.07,0,0
495,CASH_OUT,284289.8,C1810166039,0.0,0.0,C125787161,478297.35,762587.15,0,0
18,CASH_IN,39951.93,C583778230,6150570.4,6190522.33,C409277680,1791824.71,1301612.72,0,0
163,PAYMENT,2690.18,C979885634,0.0,0.0,M1287392552,0.0,0.0,0,0
207,CASH_OUT,113272.83,C929382450,11793.79,0.0,C733673563,356188.73,469461.56,0,0
228,PAYMENT,21749.13,C1971103827,0.0,0.0,M1723253747,0.0,0.0,0,0
398,PAYMENT,36862.77,C837256242,0.0,0.0,M658420430,0.0,0.0,0,0
358,CASH_OUT,395587.66,C1739007139,20719.0,0.0,C1447203906,0.0,395587.66,0,0
163,CASH_OUT,219229.55,C2030912340,4658.0,0.0,C1339108040,0.0,219229.55,0,0
405,CASH_OUT,171554.0,C828508572,0.0,0.0,C462672345,326400.72,497954.72,0,0
165,PAYMENT,5601.17,C414206190,101658.0,96056.83,M1124756846,0.0,0.0,0,0
9,CASH_IN,133706.33,C2105462024,2487313.58,2621019.9,C244684090,194731.37,1013084.89,0,0
154,CASH_OUT,362825.29,C1086707905,149156.0,0.0,C181074012,3989639.06,4352464.36,0,0
310,PAYMENT,10847.6,C1340137974,76246.0,65398.4,M971308879,0.0,0.0,0,0
395,CASH_OUT,9206.59,C1256879085,0.0,0.0,C1561547399,551621.83,560828.42,0,0
231,PAYMENT,736.32,C642906943,114940.0,114203.68,M1452231975,0.0,0.0,0,0
155,CASH_OUT,182329.58,C1142914980,0.0,0.0,C1413390395,1451664.93,1633994.51,0,0
383,PAYMENT,7181.91,C856883529,65608.0,58426.09,M1140300520,0.0,0.0,0,0
20,PAYMENT,11304.63,C1456303203,4886.0,0.0,M1995356590,0.0,0.0,0,0
95,CASH_IN,58626.57,C267052490,2566752.9,2625379.47,C934391281,1843451.9,1784825.32,0,0
540,CASH_IN,66598.59,C1666670386,12265.0,78863.59,C958876977,0.0,0.0,0,0
373,CASH_IN,95534.72,C862670072,11650818.75,11746353.47,C384354623,392998.04,297463.33,0,0
44,CASH_OUT,113564.87,C2078153909,0.0,0.0,C1579448951,593567.94,707132.82,0,0
36,CASH_OUT,3866.64,C727539582,0.0,0.0,C36553668,1129841.23,1133707.87,0,0
157,PAYMENT,23929.87,C1339645021,343209.16,319279.3,M1627259262,0.0,0.0,0,0
160,CASH_IN,8528.89,C1044198452,106251.0,114779.89,C1180892781,4314711.32,4306182.42,0,0
376,PAYMENT,19144.51,C905434321,4359.0,0.0,M309452274,0.0,0.0,0,0
356,CASH_IN,65563.0,C1166811484,2525362.36,2590925.36,C1812103792,21029825.56,20964262.56,0,0
282,PAYMENT,7339.71,C114755919,0.0,0.0,M454842173,0.0,0.0,0,0
211,TRANSFER,938444.0,C1319414269,0.0,0.0,C2109892405,2049645.34,2988089.34,0,0
207,PAYMENT,11775.6,C1090754631,0.0,0.0,M258597775,0.0,0.0,0,0
284,CASH_IN,144777.91,C5304204,8535687.5,8680465.41,C1932640316,944542.83,799764.92,0,0
213,CASH_IN,208521.11,C723994958,2451612.97,2660134.08,C1082981751,469893.4,261372.29,0,0
23,PAYMENT,13552.46,C1156550985,14926.0,1373.54,M750682452,0.0,0.0,0,0
492,PAYMENT,14684.71,C1354820437,48625.0,33940.29,M1258338075,0.0,0.0,0,0
